Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.ehr-patientsummary.json	6809	-	0	0	0	0	0	0	13	33	0	0	0	0	0	0	0	0	0	0	65	85	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-patientsummary-responsedetailtypecodes-cs.json	1102	2	0	0	1	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	9	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deleteehrextract-request.json	4701	2	0	13	0	0	0	0	0	68	0	0	0	0	0	0	0	1	0	0	67	533	0	1	0	3	0	1
fsh-generated/resources/StructureDefinition-deleteehrextract.json	1470	1	0	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-deleteehrextractstatus-request.json	4951	1	0	12	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	87	134	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-deleteehrextractstatus.json	1554	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-getehrextract-request.json	6192	42	0	10	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	67	115	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-getehrextract.json	84792	15	0	139	0	0	0	0	0	158	0	0	0	0	0	0	0	3	0	0	839	953	0	0	0	43	1	2
fsh-generated/resources/StructureDefinition-receiveehrextract-request.json	89716	19	0	112	0	0	0	0	0	112	0	0	1	0	0	0	0	4	0	0	764	780	0	0	0	36	0	2
fsh-generated/resources/StructureDefinition-receiveehrextract.json	1486	2	0	5	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	19	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-receiveehrextractstatus-request.json	4983	2	0	11	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	57	87	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-receiveehrextractstatus.json	1570	1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	54	0	0	0	0	0	0
fsh-generated/resources/ValueSet-patientsummary-responsedetailtypecodes-vs.json	524	1	0	0	0	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	6	51	0	0	0	1	0	0
/input/includes/menu.xml	455	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	910	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	1915	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/7-tjanstekontrakt.md	53832	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
/input/pagecontent/1-inledning.md	2219	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/8-datatyper.md	23998	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/2-generella-regler.md	5023	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/9-bilaga-utkast-version-2.md	14255	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ReceiveEhrExtract-flode.svg	2506	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/GetEhrExtractResponder_1.0-response-example-INTERNAL.xml	551	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/itintegration_registry_1.0.xsd	1596	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/GetEhrExtractResponder_1.0-response-example-CONTRACT.xml	618	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/GetEhrExtractResponder_1.0.xsd	3897	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/GetEhrExtractResponder_1.0-response-example.xml	14046	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/GetEhrExtractResponder_1.0-request-example1.xml	1237	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ehr_patientsummary_1.0.xsd	20836	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/DeleteEhrExtractInitiator_1.0.xsd	2776	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/Tjanstekontrakt_EHR_Patientoversikt_Beskrivning.doc	197120	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ReceiveEhrExtractInteraction_1.0_RIVTABP21.wsdl	5711	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/images/Tjanstekontraktsbeskrivning_ehr_patientsummary2_v1.2.docx	90743	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/GetEhrExtractInteraction_1.0_RIVTABP21.wsdl	3738	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/DeleteEhrExtractInteraction_1.0_RIVTABP21.wsdl	5681	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/DeleteEhrExtractResponder_1.0.xsd	2435	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ISO_dt.xsd	503673	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/DeleteEhrExtract-flode.svg	2504	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/GetEhrExtractResponder_1.0-response-example-NOINSTANCE.xml	542	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ReceiveEhrExtractResponder_1.0.xsd	2178	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ReceiveEhrExtractInitiator_1.0.xsd	2778	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	7728	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
